zoneID,repVoteshare,totalVotes
08061,77.53,968.0
08063,75.86,3458.0
08065,44.9,2628.0
08067,55.96,20490.0
08069,57.55,118537.0
08071,44.2,6094.0
08073,76.17,2199.0
08075,70.67,8096.0
08077,67.69,51054.0
08079,63.64,486.0
08081,75.84,5337.0
08083,70.67,9384.0
08085,69.63,14215.0
08087,66.48,8998.0
08089,57.94,7312.0
08091,64.47,2233.0
08093,60.58,6665.0
08095,73.64,2223.0
08097,38.27,7800.0
08099,68.98,4524.0
08101,44.14,53946.0
08103,80.1,2855.0
08105,64.57,5075.0
08107,51.52,9638.0
08109,48.49,2529.0
08111,58.5,436.0
08113,39.49,3255.0
08115,69.55,1303.0
08117,45.88,11068.0
08119,70.2,9847.0
08121,79.75,2445.0
08123,61.48,64541.0
08125,74.47,4358.0
09001,45.17,370289.0
09003,36.56,367556.0
09005,48.37,87338.0
09007,40.34,77433.0
09009,38.31,341099.0
09011,40.51,109147.0
09013,42.41,62700.0
09015,41.02,43963.0
10001,51.38,48264.0
10003,38.13,213059.0
10005,53.79,66299.0
11001,NA,NA
12001,41.88,85729.0
12003,70.11,8154.0
12005,67.21,58805.0
12007,63.78,8673.0
12009,54.2,218395.0
12011,31.45,575143.0
12013,57.14,5174.0
12015,54.44,66896.0
12017,53.84,57204.0
12019,74.04,57353.0
12021,66.89,92162.0
12023,60.87,18508.0
12027,56.18,7811.0
12029,59.63,4666.0
12031,58.51,264636.0
12033,64.07,116648.0
12035,47.58,27111.0
12037,54.53,4644.0
12039,32.87,14727.0
12041,63.34,5395.0
12043,56.08,3365.0
12045,59.69,6144.0
12047,55.48,3964.0
12049,61.68,6233.0
12051,59.43,8139.0
12053,48.42,65219.0
12055,58.78,35149.0
12057,51.6,360295.0
12059,69.71,7395.0
12061,59.16,49622.0
12063,57.09,16300.0
12065,44.9,5643.0
12067,67.91,2505.0
12069,57.76,88611.0
12071,59.07,184377.0
12073,38.87,103124.0
12075,55.96,12724.0
12077,56.43,2410.0
12079,50.2,6162.0
12081,54.1,110221.0
12083,55.25,102956.0
12085,56.07,62013.0
12086,46.82,625449.0
12087,49.35,33887.0
12089,70.23,23780.0
12091,75.45,70680.0
12093,52.43,9853.0
12095,48.96,280125.0
12097,48.19,55658.0
12099,36.19,433186.0
12101,49.64,142731.0
12103,47.95,398472.0
12105,54.56,168607.0
12107,52.63,26222.0
12109,66.97,60746.0
12111,45.51,77989.0
12113,73.91,50319.0
12115,53.29,160942.0
12117,56.12,137634.0
12119,55.72,22261.0
12121,66.27,12457.0
12123,60.49,6808.0
12125,62.37,3826.0
12127,45.84,183653.0
12129,54.04,8587.0
12131,68.35,18318.0
12133,64.09,8025.0
13001,65.31,6099.0
13003,59.93,2071.0
13005,67.77,2995.0
13007,40.78,1519.0
13009,50.62,12126.0
13011,72.41,4533.0
13013,68.43,12102.0
13015,66.22,22781.0
13017,51.59,4661.0
13019,62.37,4410.0
13021,49.06,49776.0
13023,65.68,3749.0
13025,69.44,4566.0
13027,53.44,4551.0
13029,69.0,7059.0
13031,61.78,14782.0
13033,47.61,7135.0
13035,58.37,5635.0
13037,40.96,1887.0
13039,63.67,10119.0
13043,60.94,2722.0
13045,65.1,25741.0
13047,68.75,17721.0
13049,63.55,2816.0
13051,50.17,76475.0
13053,49.58,1207.0
13055,57.15,6477.0
13057,75.57,52348.0
13059,43.86,28904.0
13061,35.3,1277.0
13063,33.27,61402.0
13065,57.21,1929.0
