zcode,cntyfips,cntyname,state,statename,area,lat,lon,zpop,zinc,cpop,cinc,spop,sinc
NA,01001,Autauga,01000,AL,595.97,32.523283,-86.577176,,,43671.0,18518.0,4447100.0,18189.0
NA,01003,Baldwin,01000,AL,1596.35,30.592781,-87.74826,,,140415.0,20826.0,4447100.0,18189.0
NA,01005,Barbour,01000,AL,884.9,31.856515,-85.331312,,,29038.0,13316.0,4447100.0,18189.0
NA,01007,Bibb,01000,AL,623.03,33.040054,-87.123243,,,20826.0,14105.0,4447100.0,18189.0
NA,01009,Blount,01000,AL,645.59,33.978461,-86.554768,,,51024.0,16325.0,4447100.0,18189.0
NA,01011,Bullock,01000,AL,625.01,32.098285,-85.704915,,,11714.0,10163.0,4447100.0,18189.0
NA,01013,Butler,01000,AL,776.87,31.735884,-86.662232,,,21399.0,15715.0,4447100.0,18189.0
NA,01015,Calhoun,01000,AL,608.46,33.741989,-85.817544,,,112249.0,17367.0,4447100.0,18189.0
NA,01017,Chambers,01000,AL,597.17,32.891233,-85.288745,,,36583.0,15147.0,4447100.0,18189.0
NA,01019,Cherokee,01000,AL,553.12,34.184158,-85.62193,,,23988.0,15543.0,4447100.0,18189.0
NA,01021,Chilton,01000,AL,693.98,32.852554,-86.689982,,,39593.0,15303.0,4447100.0,18189.0
NA,01023,Choctaw,01000,AL,913.51,32.027681,-88.257855,,,15922.0,14635.0,4447100.0,18189.0
NA,01025,Clarke,01000,AL,1238.38,31.688155,-87.834164,,,27867.0,14581.0,4447100.0,18189.0
NA,01027,Clay,01000,AL,605.07,33.26581,-85.842858,,,14254.0,13785.0,4447100.0,18189.0
NA,01029,Cleburne,01000,AL,560.21,33.647948,-85.511937,,,14123.0,14762.0,4447100.0,18189.0
NA,01031,Coffee,01000,AL,678.99,31.378987,-85.956841,,,43615.0,18321.0,4447100.0,18189.0
NA,01033,Colbert,01000,AL,594.53,34.73148,-87.72596,,,54984.0,17533.0,4447100.0,18189.0
NA,01035,Conecuh,01000,AL,850.79,31.415613,-87.002108,,,14089.0,12964.0,4447100.0,18189.0
NA,01037,Coosa,01000,AL,652.44,32.955511,-86.236319,,,12202.0,14875.0,4447100.0,18189.0
NA,01039,Covington,01000,AL,1033.82,31.251036,-86.416195,,,37631.0,15365.0,4447100.0,18189.0
NA,01041,Crenshaw,01000,AL,609.58,31.710365,-86.289299,,,13665.0,14565.0,4447100.0,18189.0
NA,01043,Cullman,01000,AL,738.43,34.155603,-86.830179,,,77483.0,16922.0,4447100.0,18189.0
NA,01045,Dale,01000,AL,561.07,31.3941,-85.615013,,,49129.0,16010.0,4447100.0,18189.0
NA,01047,Dallas,01000,AL,980.71,32.379942,-87.065563,,,46365.0,13638.0,4447100.0,18189.0
NA,01049,DeKalb,01000,AL,777.91,34.459133,-85.798919,,,64452.0,15818.0,4447100.0,18189.0
NA,01051,Elmore,01000,AL,621.26,32.596847,-86.170765,,,65874.0,17650.0,4447100.0,18189.0
NA,01053,Escambia,01000,AL,947.38,31.104135,-87.23288,,,38440.0,14396.0,4447100.0,18189.0
NA,01055,Etowah,01000,AL,534.82,34.018597,-86.032125,,,103459.0,16783.0,4447100.0,18189.0
NA,01057,Fayette,01000,AL,627.66,33.747077,-87.751725,,,18495.0,14439.0,4447100.0,18189.0
NA,01059,Franklin,01000,AL,635.64,34.465405,-87.832638,,,31223.0,14814.0,4447100.0,18189.0
NA,01061,Geneva,01000,AL,576.28,31.094579,-85.796983,,,25764.0,14620.0,4447100.0,18189.0
NA,01063,Greene,01000,AL,645.87,32.837254,-87.950852,,,9974.0,13686.0,4447100.0,18189.0
NA,01065,Hale,01000,AL,643.74,32.768094,-87.635687,,,17185.0,12661.0,4447100.0,18189.0
NA,01067,Henry,01000,AL,561.8,31.493511,-85.25376,,,16310.0,15681.0,4447100.0,18189.0
NA,01069,Houston,01000,AL,580.36,31.189731,-85.350387,,,88787.0,18759.0,4447100.0,18189.0
NA,01071,Jackson,01000,AL,1078.74,34.755318,-85.948462,,,53926.0,16000.0,4447100.0,18189.0
NA,01073,Jefferson,01000,AL,1112.61,33.527872,-86.82805,,,662047.0,20892.0,4447100.0,18189.0
NA,01075,Lamar,01000,AL,604.85,33.772995,-88.084702,,,15904.0,14435.0,4447100.0,18189.0
NA,01077,Lauderdale,01000,AL,669.46,34.87689,-87.6057,,,87966.0,18626.0,4447100.0,18189.0
NA,01079,Lawrence,01000,AL,693.38,34.554375,-87.302184,,,34803.0,16515.0,4447100.0,18189.0
NA,01081,Lee,01000,AL,608.71,32.607485,-85.328947,,,115092.0,17158.0,4447100.0,18189.0
NA,01083,Limestone,01000,AL,568.05,34.807445,-86.974946,,,65676.0,17782.0,4447100.0,18189.0
NA,01085,Lowndes,01000,AL,717.94,32.17128,-86.659917,,,13473.0,12457.0,4447100.0,18189.0
NA,01087,Macon,01000,AL,610.52,32.421555,-85.721158,,,24105.0,13714.0,4447100.0,18189.0
NA,01089,Madison,01000,AL,804.92,34.73079,-86.588226,,,276700.0,23091.0,4447100.0,18189.0
NA,01091,Marengo,01000,AL,977.04,32.331745,-87.788789,,,22539.0,15308.0,4447100.0,18189.0
NA,01093,Marion,01000,AL,741.41,34.116331,-87.878737,,,31214.0,15321.0,4447100.0,18189.0
NA,01095,Marshall,01000,AL,567.06,34.329598,-86.288884,,,82231.0,17089.0,4447100.0,18189.0
NA,01097,Mobile,01000,AL,1233.09,30.722256,-88.139667,,,399843.0,17178.0,4447100.0,18189.0
NA,01099,Monroe,01000,AL,1025.85,31.555656,-87.359637,,,24324.0,14862.0,4447100.0,18189.0
NA,01101,Montgomery,01000,AL,789.76,32.331872,-86.260844,,,223510.0,19358.0,4447100.0,18189.0
NA,01103,Morgan,01000,AL,582.21,34.507018,-86.91892,,,111064.0,19223.0,4447100.0,18189.0
NA,01105,Perry,01000,AL,719.48,32.613284,-87.334017,,,11861.0,10948.0,4447100.0,18189.0
NA,01107,Pickens,01000,AL,881.42,33.27409,-88.088963,,,20949.0,13746.0,4447100.0,18189.0
NA,01109,Pike,01000,AL,671.03,31.792165,-85.93737,,,29605.0,14904.0,4447100.0,18189.0
NA,01111,Randolph,01000,AL,581.05,33.262424,-85.445563,,,22380.0,14147.0,4447100.0,18189.0
NA,01113,Russell,01000,AL,641.32,32.376002,-85.1011,,,49756.0,14015.0,4447100.0,18189.0
NA,01115,St. Clair,01000,AL,633.75,33.667273,-86.329327,,,64742.0,17960.0,4447100.0,18189.0
NA,01117,Shelby,01000,AL,794.69,33.26912,-86.698665,,,143293.0,27176.0,4447100.0,18189.0
NA,01119,Sumter,01000,AL,904.94,32.558734,-88.215706,,,14798.0,11491.0,4447100.0,18189.0
NA,01121,Talladega,01000,AL,739.53,33.368498,-86.178278,,,80321.0,15704.0,4447100.0,18189.0
NA,01123,Tallapoosa,01000,AL,717.93,32.850131,-85.835005,,,41475.0,16909.0,4447100.0,18189.0
NA,01125,Tuscaloosa,01000,AL,1324.37,33.2356,-87.511691,,,164875.0,18998.0,4447100.0,18189.0
NA,01127,Walker,01000,AL,794.39,33.819888,-87.285406,,,70713.0,15546.0,4447100.0,18189.0
NA,01129,Washington,01000,AL,1080.66,31.366088,-88.151002,,,18097.0,14081.0,4447100.0,18189.0
NA,01131,Wilcox,01000,AL,888.68,31.993335,-87.348302,,,13183.0,10903.0,4447100.0,18189.0
NA,01133,Winston,01000,AL,614.44,34.151249,-87.418848,,,24843.0,15738.0,4447100.0,18189.0
NA,02013,Aleutians East Borough,02000,AK,6988.14,55.125713,-162.030237,,,2697.0,18421.0,626932.0,22660.0
NA,02016,Aleutians West Census Area,02000,AK,4396.77,52.31936,-172.454123,,,5465.0,24037.0,626932.0,22660.0
NA,02020,Anchorage Borough,02000,AK,1697.21,61.1919,-149.762097,,,260283.0,25287.0,626932.0,22660.0
NA,02050,Bethel Census Area,02000,AK,40633.31,60.888556,-161.191411,,,16006.0,12603.0,626932.0,22660.0
NA,02060,Bristol Bay Borough,02000,AK,504.92,58.690594,-156.786726,,,1258.0,22210.0,626932.0,22660.0
NA,02068,Denali Borough,02000,AK,12749.65,63.893564,-149.104615,,,1893.0,26251.0,626932.0,22660.0
NA,02070,Dillingham Census Area,02000,AK,18674.78,59.190911,-158.61404,,,4922.0,16021.0,626932.0,22660.0
NA,02090,Fairbanks North Star Borough,02000,AK,7366.24,64.81859,-147.568384,,,82840.0,21553.0,626932.0,22660.0
NA,02100,Haines Borough,02000,AK,2343.73,59.24545,-135.529519,,,2392.0,22090.0,626932.0,22660.0
NA,02110,Juneau Borough,02000,AK,2716.67,58.351422,-134.511579,,,30711.0,26719.0,626932.0,22660.0
NA,02122,Kenai Peninsula Borough,02000,AK,16013.26,60.349178,-150.987663,,,49691.0,20949.0,626932.0,22660.0
NA,02130,Ketchikan Gateway Borough,02000,AK,1233.22,55.354938,-131.620295,,,14070.0,23994.0,626932.0,22660.0
NA,02150,Kodiak Island Borough,02000,AK,6559.85,57.694078,-152.682317,,,13913.0,22195.0,626932.0,22660.0
NA,02164,Lake and Peninsula Borough,02000,AK,23781.96,58.605648,-156.409989,,,1823.0,15361.0,626932.0,22660.0
NA,02170,Matanuska-Susitna Borough,02000,AK,24681.54,61.762742,-149.481089,,,59322.0,21105.0,626932.0,22660.0
NA,02180,Nome Census Area,02000,AK,23000.91,64.809165,-164.346772,,,9196.0,15476.0,626932.0,22660.0
