zoneID,totalPop,earningPop,earningPop1,earningPop2,earningPop3,earningPop4,earningPop5,earningPop6,earningPop7,earningPop8,earningPop9,earningPop10,earningPop11,earningPop12,earningPop13,earningPop14,earningPop15,earningPop16,earningPop17,earningPop18,earningPop19,earningPop20
01001,43671.0,22803.0,1424.0,1041.0,1063.0,935.0,1460.0,1022.0,1363.0,1184.0,1631.0,988.0,2098.0,2035.0,1744.0,856.0,802.0,796.0,788.0,695.0,465.0,413.0
01003,140415.0,72165.0,5113.0,3794.0,3915.0,3315.0,5054.0,3512.0,4476.0,3055.0,4955.0,2557.0,6360.0,5647.0,4401.0,3359.0,1953.0,2318.0,2361.0,1715.0,1962.0,2343.0
01005,29038.0,12380.0,1098.0,794.0,681.0,726.0,1133.0,798.0,847.0,659.0,1010.0,597.0,974.0,715.0,699.0,380.0,195.0,226.0,253.0,155.0,187.0,253.0
01007,20826.0,9515.0,779.0,422.0,453.0,483.0,766.0,499.0,647.0,453.0,763.0,407.0,819.0,824.0,572.0,511.0,353.0,192.0,295.0,98.0,132.0,47.0
01009,51024.0,25580.0,1684.0,1154.0,1272.0,1118.0,1924.0,1270.0,1610.0,1351.0,1703.0,1176.0,2241.0,2508.0,2034.0,1408.0,602.0,753.0,692.0,464.0,298.0,318.0
01011,11714.0,4446.0,423.0,282.0,191.0,258.0,449.0,404.0,426.0,264.0,441.0,122.0,319.0,254.0,201.0,129.0,58.0,39.0,32.0,63.0,46.0,45.0
01013,21399.0,9269.0,686.0,540.0,583.0,569.0,933.0,516.0,663.0,499.0,693.0,349.0,804.0,674.0,439.0,355.0,161.0,213.0,203.0,94.0,87.0,208.0
01015,112249.0,56228.0,4482.0,3184.0,3608.0,3081.0,4382.0,2919.0,3907.0,2814.0,3565.0,2508.0,4776.0,4338.0,3294.0,2683.0,1334.0,1342.0,1363.0,895.0,876.0,877.0
01017,36583.0,17788.0,1216.0,714.0,952.0,873.0,1254.0,955.0,1503.0,1002.0,1608.0,901.0,2148.0,1390.0,947.0,777.0,338.0,385.0,309.0,118.0,164.0,234.0
01019,23988.0,11645.0,798.0,609.0,606.0,574.0,954.0,557.0,855.0,603.0,1082.0,614.0,1160.0,898.0,686.0,507.0,189.0,321.0,319.0,62.0,153.0,98.0
01021,39593.0,19710.0,1375.0,1007.0,1051.0,934.0,1757.0,931.0,1209.0,890.0,1446.0,857.0,1953.0,1538.0,1398.0,880.0,580.0,669.0,587.0,267.0,232.0,149.0
01023,15922.0,6556.0,586.0,305.0,386.0,359.0,598.0,406.0,471.0,288.0,454.0,154.0,604.0,335.0,328.0,241.0,171.0,223.0,228.0,190.0,127.0,102.0
01025,27867.0,12061.0,1054.0,601.0,694.0,516.0,938.0,504.0,841.0,650.0,939.0,389.0,967.0,788.0,578.0,593.0,442.0,387.0,453.0,231.0,326.0,170.0
01027,14254.0,6565.0,348.0,275.0,345.0,339.0,603.0,391.0,601.0,487.0,616.0,370.0,668.0,472.0,377.0,254.0,99.0,70.0,75.0,52.0,77.0,46.0
01029,14123.0,6995.0,594.0,294.0,302.0,417.0,601.0,385.0,472.0,383.0,583.0,240.0,667.0,534.0,538.0,286.0,203.0,139.0,94.0,107.0,86.0,70.0
01031,43615.0,21908.0,1524.0,909.0,1223.0,1171.0,1873.0,1506.0,1653.0,804.0,1372.0,792.0,2018.0,1589.0,1338.0,1041.0,586.0,616.0,668.0,318.0,511.0,396.0
01033,54984.0,26516.0,1888.0,1623.0,1765.0,1449.0,1985.0,1224.0,2090.0,1261.0,1812.0,987.0,2142.0,1920.0,1494.0,1119.0,679.0,697.0,870.0,424.0,638.0,449.0
01035,14089.0,5796.0,457.0,363.0,239.0,258.0,538.0,415.0,503.0,303.0,551.0,212.0,469.0,330.0,375.0,246.0,128.0,173.0,51.0,27.0,91.0,67.0
01037,12202.0,6052.0,483.0,253.0,420.0,249.0,465.0,317.0,648.0,463.0,552.0,297.0,598.0,283.0,292.0,152.0,151.0,156.0,67.0,52.0,46.0,108.0
