zoneID,repVoteshare,totalVotes
01000,61.4396,31340.5821
02000,59.8725,8154.925
04000,55.482,152898.3333
05000,61.9544,14488.2267
06000,45.6138,233825.8621
08000,53.8811,37522.7813
09000,40.0288,205849.0
10000,42.94,137470.6667
11000,6.46,29539.2222
12000,58.6754,125234.9851
13000,61.5426,24682.3019
15000,22.82,90713.6
16000,69.333,14887.0909
17000,51.4949,54140.8922
18000,55.2241,29902.7609
19000,49.2598,15526.4949
20000,70.7547,11770.2095
21000,63.3903,15221.8333
22000,62.4355,30636.8906
23000,43.1488,45697.6875
24000,49.9612,109649.8333
25000,33.8307,220070.3571
26000,48.5653,60262.241
27000,49.8094,33452.5172
28000,54.5301,15730.061
29000,60.3704,25333.3391
30000,59.6137,8755.3929
31000,70.3857,8615.9247
32000,61.2812,56932.2353
33000,43.018,71097.0
34000,44.1567,184201.7619
35000,47.8321,25156.303
36000,46.9894,123240.8226
37000,53.9312,43107.89
38000,57.1928,5973.9811
39000,55.2745,64867.6136
40000,71.2982,18995.5974
41000,53.7456,50774.0
42000,54.5239,89479.6567
44000,37.578,94353.2
45000,50.6378,42443.7333
46000,56.0029,5787.5
47000,64.2192,27365.7789
48000,68.4872,31802.3425
49000,72.3903,32840.3448
50000,33.1064,23217.5714
51000,51.7045,27785.5224
53000,51.2321,77868.6667
54000,58.4676,12971.8364
55000,44.1851,41436.3472
56000,70.6135,11072.087
72000,NA,NA
