PRESIDENT 1996
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,Oregon,19961105,N/A,SHERMAN,County,"1,067",476,"Dole, Robert",Challenger,444,"Clinton, William Jefferson",Incumbent,Reform,126,"Perot, Ross",Challenger,21,32,R,44.61,41.61,11.81,1.97,51.74,48.26,,,
President,Oregon,19961105,N/A,TILLAMOOK,County,"11,332","3,884","Dole, Robert",Challenger,"5,775","Clinton, William Jefferson",Incumbent,Reform,"1,263","Perot, Ross",Challenger,410,"1,891",D,34.27,50.96,11.15,3.62,40.21,59.79,,,
President,Oregon,19961105,N/A,UMATILLA,County,"21,495","9,703","Dole, Robert",Challenger,"8,774","Clinton, William Jefferson",Incumbent,Reform,"2,500","Perot, Ross",Challenger,518,929,R,45.14,40.82,11.63,2.41,52.51,47.49,,,
President,Oregon,19961105,N/A,UNION,County,"11,345","5,414","Dole, Robert",Challenger,"4,379","Clinton, William Jefferson",Incumbent,Reform,"1,241","Perot, Ross",Challenger,311,"1,035",R,47.72,38.60,10.94,2.74,55.28,44.72,,,
President,Oregon,19961105,N/A,WALLOWA,County,"4,297","2,379","Dole, Robert",Challenger,"1,321","Clinton, William Jefferson",Incumbent,Reform,483,"Perot, Ross",Challenger,114,"1,058",R,55.36,30.74,11.24,2.65,64.30,35.70,,,
President,Oregon,19961105,N/A,WASCO,County,"9,952","3,662","Dole, Robert",Challenger,"4,967","Clinton, William Jefferson",Incumbent,Reform,"1,004","Perot, Ross",Challenger,319,"1,305",D,36.80,49.91,10.09,3.21,42.44,57.56,,,
President,Oregon,19961105,N/A,WASHINGTON,County,"159,755","65,221","Dole, Robert",Challenger,"76,619","Clinton, William Jefferson",Incumbent,Reform,"11,446","Perot, Ross",Challenger,"6,469","11,398",D,40.83,47.96,7.16,4.05,45.98,54.02,,,
President,Oregon,19961105,N/A,WHEELER,County,874,418,"Dole, Robert",Challenger,299,"Clinton, William Jefferson",Incumbent,Reform,121,"Perot, Ross",Challenger,36,119,R,47.83,34.21,13.84,4.12,58.30,41.70,,,
President,Oregon,19961105,N/A,YAMHILL,County,"31,135","13,900","Dole, Robert",Challenger,"13,078","Clinton, William Jefferson",Incumbent,Reform,"2,913","Perot, Ross",Challenger,"1,244",822,R,44.64,42.00,9.36,4.00,51.52,48.48,,,
,
CensusPopAll,AreaAll,TotalVotesAll,RepVotesAll,DemVotesAll,ThirdVotesAll,OtherVotesAll,PluralityVotesAll,PluralityPartyAll,RepDemPluralityVotesAll,RepDemPluralityPartyAll,RepVotesTotalPercentAll,DemVotesTotalPercentAll,ThirdVotesTotalPercentAll,OtherVotesTotalPercentAll,RepVotesMajorPercentAll,DemVotesMajorPercentAll
N/A,Oregon,"1,377,760","538,152","649,641","121,221","68,746","111,489",D,"111,489",D,39.06,47.15,8.80,4.99,45.31,54.69
,
,
,
PRESIDENT 1996
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,Pennsylvania,19961105,N/A,ADAMS,County,"29,508","15,338","Dole, Robert",Challenger,"10,774","Clinton, William Jefferson",Incumbent,Reform,"3,186","Perot, Ross",Challenger,210,"4,564",R,51.98,36.51,10.80,.71,58.74,41.26,,,
President,Pennsylvania,19961105,N/A,ALLEGHENY,County,"538,615","204,067","Dole, Robert",Challenger,"284,480","Clinton, William Jefferson",Incumbent,Reform,"42,309","Perot, Ross",Challenger,"7,759","80,413",D,37.89,52.82,7.86,1.44,41.77,58.23,,,
President,Pennsylvania,19961105,N/A,ARMSTRONG,County,"25,779","11,052","Dole, Robert",Challenger,"11,130","Clinton, William Jefferson",Incumbent,Reform,"3,452","Perot, Ross",Challenger,145,78,D,42.87,43.17,13.39,.56,49.82,50.18,,,
President,Pennsylvania,19961105,N/A,BEAVER,County,"74,279","26,048","Dole, Robert",Challenger,"39,578","Clinton, William Jefferson",Incumbent,Reform,"8,276","Perot, Ross",Challenger,377,"13,530",D,35.07,53.28,11.14,.51,39.69,60.31,,,
President,Pennsylvania,19961105,N/A,BEDFORD,County,"18,127","10,064","Dole, Robert",Challenger,"5,954","Clinton, William Jefferson",Incumbent,Reform,"2,041","Perot, Ross",Challenger,68,"4,110",R,55.52,32.85,11.26,.38,62.83,37.17,,,
President,Pennsylvania,19961105,N/A,BERKS,County,"121,718","56,289","Dole, Robert",Challenger,"49,887","Clinton, William Jefferson",Incumbent,Reform,"13,788","Perot, Ross",Challenger,"1,754","6,402",R,46.25,40.99,11.33,1.44,53.01,46.99,,,
President,Pennsylvania,19961105,N/A,BLAIR,County,"40,691","21,282","Dole, Robert",Challenger,"15,036","Clinton, William Jefferson",Incumbent,Reform,"4,014","Perot, Ross",Challenger,359,"6,246",R,52.30,36.95,9.86,.88,58.60,41.40,,,
President,Pennsylvania,19961105,N/A,BRADFORD,County,"21,008","10,393","Dole, Robert",Challenger,"7,736","Clinton, William Jefferson",Incumbent,Reform,"2,712","Perot, Ross",Challenger,167,"2,657",R,49.47,36.82,12.91,.79,57.33,42.67,,,
President,Pennsylvania,19961105,N/A,BUCKS,County,"227,363","94,899","Dole, Robert",Challenger,"103,313","Clinton, William Jefferson",Incumbent,Reform,"24,544","Perot, Ross",Challenger,"4,607","8,414",D,41.74,45.44,10.80,2.03,47.88,52.12,,,
President,Pennsylvania,19961105,N/A,BUTLER,County,"60,591","32,038","Dole, Robert",Challenger,"21,990","Clinton, William Jefferson",Incumbent,Reform,"6,145","Perot, Ross",Challenger,418,"10,048",R,52.88,36.29,10.14,.69,59.30,40.70,,,
President,Pennsylvania,19961105,N/A,CAMBRIA,County,"59,275","20,341","Dole, Robert",Challenger,"30,391","Clinton, William Jefferson",Incumbent,Reform,"7,837","Perot, Ross",Challenger,706,"10,050",D,34.32,51.27,13.22,1.19,40.10,59.90,,,
President,Pennsylvania,19961105,N/A,CAMERON,County,"2,231","1,113","Dole, Robert",Challenger,822,"Clinton, William Jefferson",Incumbent,Reform,283,"Perot, Ross",Challenger,13,291,R,49.89,36.84,12.68,.58,57.52,42.48,,,
President,Pennsylvania,19961105,N/A,CARBON,County,"19,829","7,193","Dole, Robert",Challenger,"9,457","Clinton, William Jefferson",Incumbent,Reform,"2,992","Perot, Ross",Challenger,187,"2,264",D,36.28,47.69,15.09,.94,43.20,56.80,,,
President,Pennsylvania,19961105,N/A,CENTRE,County,"46,826","20,935","Dole, Robert",Challenger,"21,145","Clinton, William Jefferson",Incumbent,Reform,"4,173","Perot, Ross",Challenger,573,210,D,44.71,45.16,8.91,1.22,49.75,50.25,,,
