PRESIDENT 1988
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,New Jersey,19881108,N/A,ATLANTIC,County,"79,442","44,748","Bush, George H.",Challenger,"34,047","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,647,"10,701",R,56.33,42.86,.00,.81,56.79,43.21,,,
President,New Jersey,19881108,N/A,BERGEN,County,"389,933","226,885","Bush, George H.",Challenger,"160,655","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,"2,393","66,230",R,58.19,41.20,.00,.61,58.54,41.46,,,
President,New Jersey,19881108,N/A,BURLINGTON,County,"149,949","87,416","Bush, George H.",Challenger,"61,140","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,"1,393","26,276",R,58.30,40.77,.00,.93,58.84,41.16,,,
President,New Jersey,19881108,N/A,CAMDEN,County,"192,515","100,072","Bush, George H.",Challenger,"90,704","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,"1,739","9,368",R,51.98,47.12,.00,.90,52.46,47.54,,,
President,New Jersey,19881108,N/A,CAPE MAY,County,"44,117","28,738","Bush, George H.",Challenger,"15,105","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,274,"13,633",R,65.14,34.24,.00,.62,65.55,34.45,,,
President,New Jersey,19881108,N/A,CUMBERLAND,County,"48,349","26,024","Bush, George H.",Challenger,"21,869","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,456,"4,155",R,53.83,45.23,.00,.94,54.34,45.66,,,
President,New Jersey,19881108,N/A,ESSEX,County,"276,967","111,491","Bush, George H.",Challenger,"156,098","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,"9,378","44,607",D,40.25,56.36,.00,3.39,41.67,58.33,,,
President,New Jersey,19881108,N/A,GLOUCESTER,County,"88,117","51,708","Bush, George H.",Challenger,"35,479","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,930,"16,229",R,58.68,40.26,.00,1.06,59.31,40.69,,,
President,New Jersey,19881108,N/A,HUDSON,County,"184,463","84,334","Bush, George H.",Challenger,"98,507","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,"1,622","14,173",D,45.72,53.40,.00,.88,46.12,53.88,,,
President,New Jersey,19881108,N/A,HUNTERDON,County,"46,182","31,907","Bush, George H.",Challenger,"13,758","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,517,"18,149",R,69.09,29.79,.00,1.12,69.87,30.13,,,
President,New Jersey,19881108,N/A,MERCER,County,"135,345","65,384","Bush, George H.",Challenger,"68,712","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,"1,249","3,328",D,48.31,50.77,.00,.92,48.76,51.24,,,
President,New Jersey,19881108,N/A,MIDDLESEX,County,"264,119","143,422","Bush, George H.",Challenger,"117,149","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,"3,548","26,273",R,54.30,44.35,.00,1.34,55.04,44.96,,,
President,New Jersey,19881108,N/A,MONMOUTH,County,"240,957","147,320","Bush, George H.",Challenger,"91,844","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,"1,793","55,476",R,61.14,38.12,.00,.74,61.60,38.40,,,
President,New Jersey,19881108,N/A,MORRIS,County,"187,249","127,420","Bush, George H.",Challenger,"58,721","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,"1,108","68,699",R,68.05,31.36,.00,.59,68.45,31.55,,,
President,New Jersey,19881108,N/A,OCEAN,County,"190,558","124,587","Bush, George H.",Challenger,"64,474","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,"1,497","60,113",R,65.38,33.83,.00,.79,65.90,34.10,,,
President,New Jersey,19881108,N/A,PASSAIC,County,"157,513","88,070","Bush, George H.",Challenger,"66,254","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,"3,189","21,816",R,55.91,42.06,.00,2.02,57.07,42.93,,,
President,New Jersey,19881108,N/A,SALEM,County,"25,606","15,240","Bush, George H.",Challenger,"9,956","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,410,"5,284",R,59.52,38.88,.00,1.60,60.49,39.51,,,
President,New Jersey,19881108,N/A,SOMERSET,County,"106,193","67,658","Bush, George H.",Challenger,"37,406","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,"1,129","30,252",R,63.71,35.22,.00,1.06,64.40,35.60,,,
President,New Jersey,19881108,N/A,SUSSEX,County,"50,160","36,086","Bush, George H.",Challenger,"13,676","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,398,"22,410",R,71.94,27.26,.00,.79,72.52,27.48,,,
President,New Jersey,19881108,N/A,UNION,County,"208,153","112,967","Bush, George H.",Challenger,"93,158","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,"2,028","19,809",R,54.27,44.75,.00,.97,54.81,45.19,,,
President,New Jersey,19881108,N/A,WARREN,County,"33,666","21,715","Bush, George H.",Challenger,"11,640","Dukakis, Michael S.",Challenger,N/A,N/A,N/A,N/A,311,"10,075",R,64.50,34.57,.00,.92,65.10,34.90,,,
,
